trait_id,segment,character,state_options,description
T14a,pereopod_1,shape,"constriction, basis linear, basis slightly expanded, basis broadly expanded, posteriorly directed, linear distal distal segments, basis glandular",
T14b,basis,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T14c,ischium,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T14d,merus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T14e,carpus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T14f,propodus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T14g,dactyl,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T15a,pereopod_2,shape,"constriction, basis linear, basis slightly expanded, basis broadly expanded, posteriorly directed, linear distal distal segments, basis glandular",
T15b,basis,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T15c,ischium,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
